N,Name,Weight/Vol,Beam Area,N (Sam_ug),15N (Sam_DeltaAir),Beam Area,C (Sam_ug),13C (Sam_DeltaPDB)
1,test,1.42,1.62E-07,224.5720034,-1.560387228,2.53E-07,579.3129178,-27.10796242
2,Alanine,0.91,1.02E-07,142.8700052,-1.500016678,1.61E-07,367.6400229,-27.18024479
3,Alanine,1.03,1.12E-07,157.520289,-1.347489867,1.84E-07,420.4022573,-27.05456934
4,ch-6,1.2,2.15E-09,3.03190673,-5.759024772,2.23E-07,508.0343437,-10.36733638
5,SC1,0.77,7.48E-08,105.8392489,15.93634851,1.33E-07,303.3606453,-12.87174428
6,S-BP-1,0.97,5.40E-08,76.7373732,11.48496916,1.42E-07,324.1771679,-18.12098109
7,S-BP-2,0.8,4.06E-08,57.90219053,11.6274213,1.09E-07,248.2123982,-18.26616236
8,S-BP-3,0.72,3.64E-08,52.18201355,11.05101522,9.87E-08,224.3020144,-18.61687575
9,SC2,0.93,1.04E-07,149.2408224,16.02741756,1.85E-07,420.8840257,-12.74301595
10,S-BP-4,0.77,3.61E-08,52.23783338,11.62756601,9.63E-08,218.4508021,-18.36480497
11,S-BP-5,0.87,2.92E-08,42.5133751,11.01376553,7.66E-08,173.6181884,-18.28773629
12,S-BP-6,0.81,4.51E-08,65.92128682,11.42124646,1.22E-07,275.9320974,-18.40434519
13,SC3,0.73,4.28E-08,62.89502901,16.08206297,7.68E-08,173.7352128,-13.14481127
14,S-WP-1,0.86,5.09E-08,75.21174724,11.69550756,1.34E-07,303.8573596,-18.12752129
15,Alanine,1.13,1.20E-07,177.4099946,-1.500016678,2.02E-07,456.520007,-27.18024479
16,Alanine,1.15,1.23E-07,182.1161335,-1.502879761,2.07E-07,467.3294255,-27.05333759
17,S-WP-3,0.8,4.32E-08,64.06593973,10.80175674,1.19E-07,269.4980955,-18.45193593
18,SC4,0.78,6.54E-08,96.78280707,16.05683559,1.15E-07,259.0521233,-13.06254979
19,S-WP-4,0.9,5.41E-08,80.11232491,11.35644164,1.50E-07,338.7686436,-18.48762799
20,S-WP-5,0.86,5.14E-08,76.03297938,11.3278951,1.41E-07,317.6911173,-18.47829542
21,S-WP-6,0.81,5.04E-08,74.54580505,11.25287824,1.33E-07,299.2618563,-18.47700441
22,SC5,0.88,9.05E-08,133.6801533,15.96610043,1.64E-07,369.0694171,-12.92334521
23,S-BNP-1,0.68,3.38E-08,49.87890458,11.30013823,9.61E-08,216.2625191,-17.85767926
24,S-BNP-3,0.72,4.26E-08,62.77182189,11.91383814,1.16E-07,260.1262677,-17.71083999
25,SC6,0.85,7.94E-08,117.0070089,15.91432488,1.41E-07,317.9756237,-12.94167987
26,S-BNP-4,0.76,4.38E-08,64.56649717,11.94715119,1.18E-07,264.1410436,-17.02520772
27,Alanine,1.22,1.30E-07,191.5399916,-1.500016678,2.19E-07,492.8800045,-27.18024479
28,Alanine,1.21,1.29E-07,190.1351315,-1.453970131,2.18E-07,489.5143191,-27.15286796
29,S-BNP-5,0.7,2.89E-08,42.46190419,11.23760517,8.34E-08,187.1407717,-16.34574243
30,S-BNP-6,0.78,4.48E-08,65.91505461,11.74742169,1.22E-07,274.0925654,-17.34096531
31,SC7,0.84,9.45E-08,139.0230729,16.1298613,1.71E-07,383.5076879,-13.09268417
32,S-WNP-1,0.88,5.12E-08,75.39285465,12.18563554,1.34E-07,301.6538006,-16.89893706
33,S-WNP-2,0.77,4.14E-08,60.89026142,11.87638925,1.14E-07,256.4999576,-17.33928051
34,S-WNP-3,0.8,4.77E-08,70.12285047,11.72797063,1.27E-07,284.4729203,-17.12810841
35,SC8,0.87,9.30E-08,136.8180759,16.08398193,1.68E-07,376.5623366,-12.80968045
36,S-WNP-4,0.88,5.10E-08,75.00142557,11.5013878,1.37E-07,306.4600607,-17.44614961
37,S-WNP-5,0.8,4.42E-08,65.03489455,11.49392553,1.22E-07,273.0949847,-17.1283847
38,S-WNP-6,0.76,4.02E-08,59.13363354,11.44592513,1.08E-07,241.4698386,-17.46682017
39,SC9,0.88,9.45E-08,139.0206439,16.01235571,1.70E-07,381.3361867,-12.91217571
40,SC10,0.75,8.04E-08,118.1869999,16.10347367,1.44E-07,322.7733063,-12.92087922
41,CH6,0.94,6.48E-10,0.953295871,-3.469228047,1.76E-07,393.8720398,-10.71322139
42,Alanine,0.84,8.91E-08,131.031972,-1.53124041,1.51E-07,338.2173792,-27.23998327
43,Alanine,1.2,1.28E-07,188.3999939,-1.500016678,2.16E-07,484.8000244,-27.18024479
